id,label
731,2
733,2
734,2
735,1
739,1
740,1
741,1
742,2
744,1
749,2
751,2
753,1
754,1
755,2
760,1
761,1
763,1
766,2
767,1
768,1
770,2
771,1
772,2
773,2
776,1
777,2
778,1
779,1
780,2
781,2
782,2
785,2
786,1
787,2
796,1
797,1
799,2
800,1
804,2
805,1
806,2
809,2
811,2
812,2
815,2
816,1
817,2
818,2
819,1
821,2
824,1
827,2
828,2
829,1
831,1
832,2
834,1
836,1
838,1
839,1
842,2
843,1
844,1
845,2
850,2
852,1
853,1
854,1
855,1
856,2
858,1
861,2
862,1
864,1
867,1
868,1
869,2
870,1
871,1
874,1
877,1
878,2
879,1
882,1
883,2
886,1
887,1
888,2
889,2
892,1
895,2
901,2
903,2
907,2
908,2
910,1
913,2
914,1
915,1
916,2
917,1
918,1
919,1
920,1
923,2
929,1
930,1
931,2
932,1
934,2
935,2
939,1
940,2
941,1
943,2
944,1
946,1
947,2
948,2
950,1
952,1
954,2
955,1
958,1
959,1
960,2
961,1
962,2
966,1
970,2
971,1
973,2
975,2
976,1
977,2
979,1
982,1
983,1
985,1
988,1
989,1
992,2
994,1
996,1
998,2
999,2
1000,2
1001,2
1005,1
1011,1
1015,1
1018,2
1019,1
1020,2
1021,1
1024,2
1025,2
1026,1
1031,1
1033,1
1034,2
1038,1
1039,2
1041,2
1042,2
1043,1
1047,2
1048,2
1050,1
1051,2
1052,1
1053,1
1054,1
1056,1
1059,2
1060,2
1062,2
1063,1
1065,1
1066,2
1067,2
1070,1
1073,1
1074,2
1075,1
1078,2
1083,1
1085,2
1089,1
1095,1
1096,1
1098,1
1099,2
1100,2
1102,2
1103,2
1105,1
1106,2
1107,1
1109,2
1111,1
1114,1
1115,2
1116,2
1120,2
1122,2
1124,2
1126,1
1129,2
1130,2
1131,1
1133,2
1134,2
1136,1
1137,2
1138,2
1139,2
1141,2
1143,2
1144,2
1145,2
1150,1
1153,2
1154,2
1155,1
1159,1
1164,1
1166,2
1169,2
1171,1
1173,2
1174,1
1175,1
1177,2
1180,2
1181,2
1185,1
1189,1
1191,2
1194,1
1195,2
1196,2
1198,1
1199,1
1203,2
1205,1
1208,1
1210,2
1213,1
1215,1
1216,1
1217,1
1219,1
1220,1
1222,2
1223,2
1224,2
1225,2
1226,1
1228,2
1229,2
1233,2
1239,2
1240,2
1241,2
1242,1
1243,1
1245,1
1246,1
1247,2
1248,2
1249,2
1251,1
1253,2
1255,1
1257,2
1258,2
1263,2
1264,2
1265,1
1269,2
1273,2
1277,1
1279,1
1280,1
1284,1
1285,1
1287,2
1288,2
1289,1
1290,2
1291,2
1294,1
1296,2
1298,1
1299,1
1301,1
1304,1
1305,1
1306,2
1307,2
1308,1
1313,2
1314,2
1315,2
1317,2
1321,2
1324,2
1327,2
1329,2
1334,1
1335,2
1336,1
1337,1
1338,2
1339,1
1343,2
1346,1
1349,1
1350,2
1351,1
1352,2
1353,2
1354,1
1355,1
1356,2
1357,1
1358,2
1361,2
1363,1
1364,2
1365,2
1366,1
1367,2
1368,1
1370,2
1372,1
1375,1
1376,2
1377,1
1378,1
1380,2
1382,1
1384,1
1386,1
1387,2
1389,1
1393,2
1394,1
1395,1
1397,2
1398,2
1400,1
1402,2
1407,2
1408,1
1413,2
1417,2
1418,2
1420,1
1426,2
1427,1
1428,2
1432,1
1433,1
1434,2
1435,1
1437,2
1441,2
1443,1
1444,1
1448,2
1449,1
1451,1
1452,2
1453,1
1456,1
1457,1
1458,1
1463,1
1468,1
1469,1
1470,1
1473,1
1474,2
1475,2
1476,1
1480,1
1481,1
1482,1
1484,1
1486,1
1488,1
1490,1
1493,1
1494,1
1497,2
1498,1
1499,1
1502,1
1503,1
1506,1
1508,2
1512,2
1514,1
1515,1
1518,2
1521,1
1523,2
1524,2
1526,2
1527,1
1531,1
1532,2
1533,2
1534,1
1542,2
1544,1
1546,1
1550,1
1551,1
1553,1
1554,1
1555,2
1557,1
1558,1
1560,2
1561,2
1563,1
1565,1
1568,2
1571,1
1572,2
1576,1
1578,1
1579,1
1580,1
1581,2
1582,1
1584,1
1586,1
1587,1
1588,1
1590,1
1597,2
1604,2
1605,1
1606,1
1607,2
1608,2
1610,1
1615,2
1616,1
1617,1
1618,1
1620,2
1622,1
1623,2
1624,1
1631,2
1632,2
1633,1
1638,1
1639,1
1643,2
1645,1
1646,1
1648,1
1650,1
1651,1
1652,1
1654,1
1659,1
1664,1
1665,1
1666,2
1667,2
1669,1
1670,2
1672,1
1673,1
1677,2
1679,1
1680,1
1684,1
1685,2
1687,2
1688,1
1689,2
1690,1
1691,1
1692,2
1694,1
1696,2
1697,2
1701,2
1708,2
1710,2
1711,2
1712,2
1713,1
1715,2
1719,1
1720,2
1723,2
1725,2
1727,2
1729,2
1730,1
1733,1
1735,2
1736,1
1737,1
1738,2
1741,2
1742,1
1743,1
1744,2
1751,1
1753,2
1758,1
1759,2
1764,1
1768,1
1770,2
1771,2
1774,1
1776,1
1777,1
1778,2
1780,2
1782,2
1785,2
1787,2
1788,2
1793,1
1794,1
1795,1
1796,1
1797,2
1798,1
1801,2
1804,1
1809,2
1815,2
1820,1
1823,2
1824,2
1826,1
1827,1
1828,2
1829,2
1832,1
1834,2
1835,2
1836,2
1842,2
1843,2
1845,2
1847,2
1848,1
1849,1
1851,1
1852,1
1855,1
1858,2
1863,1
1864,2
1865,1
1866,1
1868,2
1870,2
1872,2
1878,1
1879,2
1880,1
1882,2
1883,2
1888,1
1890,2
1894,2
1895,1
1896,2
1901,2
1903,2
1904,1
1908,1
1909,2
1910,2
1912,1
1914,1
1915,2
1918,2
1921,2
1922,1
1928,2
1931,1
1932,1
1933,1
1935,2
1937,2
1938,2
1939,2
1943,1
1944,1
1947,2
1948,2
1950,1
1951,2
1952,2
1953,2
1954,2
1955,1
1956,1
1958,1
1962,2
1963,1
1964,1
1965,2
1966,1
1967,2
1971,2
1973,2
1975,2
1977,1
1979,2
1980,2
1981,1
1984,1
1985,2
1986,2
1987,2
1988,1
1990,2
1994,2
1996,2
2001,2
2005,1
2008,1
2011,1
2013,1
2015,2
2017,2
2018,1
2019,1
2021,2
2025,2
2028,2
2030,2
2032,2
2033,2
2035,1
2037,2
2038,1
2039,2
2040,1
2042,1
2044,1
2047,2
2049,2
2052,2
2053,1
2054,2
2058,1
2062,1
2066,2
2067,1
2069,1
2070,1
2072,1
2073,1
2075,1
2076,1
2079,1
2080,2
2082,1
2083,1
2084,1
2085,2
2086,1
2087,1
2088,1
2091,1
2094,2
2095,1
2098,2
2102,1
2104,2
2110,1
2112,2
2113,2
2115,2
2116,2
2118,2
2119,1
2120,1
2122,2
2124,2
2125,2
2126,1
2130,2
2138,2
2141,2
2145,2
2146,2
2148,2
2150,2
2151,1
2154,1
2155,1
2157,2
2158,1
2159,1
2162,2
2165,1
2166,2
2167,1
2168,1
2171,1
2178,1
2180,1
2181,1
2184,2
2186,2
2188,2
2190,1
2192,1
2196,2
2199,1
2200,2
2202,2
2203,2
2205,1
2207,2
2208,2
2210,1
2216,1
2217,2
2219,2
2225,2
2226,2
2228,1
2230,2
2231,1
2232,2
2234,1
2235,2
2239,2
2240,2
2243,2
2244,2
2245,2
2246,1
2247,1
2250,2
2251,1
2253,1
2267,2
2271,2
2273,2
2274,1
2277,1
2278,2
2283,1
2285,2
2286,2
2287,2
2288,2
2290,1
2293,1
2294,1
2297,1
2300,1
2302,1
2303,1
2308,2
2309,1
2310,2
2317,2
2320,2
2322,2
2323,2
2324,2
2325,1
2326,2
2329,1
2330,1
2334,1
2335,2
2337,1
2338,2
2339,1
2341,1
2343,1
2344,1
2345,1
2346,2
2347,2
2348,2
2349,1
2350,1
2351,1
2353,2
2354,1
2356,2
2359,1
2361,2
2363,1
2364,1
2365,2
2366,2
2368,2
2372,1
2374,1
2375,2
2380,1
2382,2
2383,1
2384,1
2385,1
2387,1
2389,1
2390,1
2392,2
2396,2
2397,2
2400,2
2402,1
2403,1
2404,2
2407,1
2408,2
2409,1
2411,2
2412,1
2413,2
2415,2
2417,2
2418,2
2419,2
2420,2
2421,2
2423,1
2424,2
2426,2
2428,1
2430,2
2433,1
2434,2
2435,1
2436,2
2437,1
2438,1
2439,2
2440,2
2441,2
2444,1
2445,2
2447,1
2448,2
2449,2
2453,1
2454,1
2455,2
2456,2
2457,1
2458,2
2460,2
2462,2
2463,1
2464,1
2465,1
2466,2
2467,2
2470,2
2472,1
2473,1
2474,1
2476,1
2477,2
2478,1
2480,2
2481,1
2483,2
2484,2
2486,2
2487,1
2488,1
2489,1
2491,1
2498,1
2499,1
2500,1
2504,1
2505,1
2506,2
2508,1
2510,1
2511,1
2513,2
2515,2
2517,1
2518,1
2519,2
2522,1
2524,2
2531,1
2534,2
2535,2
2536,2
2538,2
2540,1
2545,1
2547,1
2548,2
2549,2
2550,1
2551,1
2555,1
2556,2
2558,2
2560,1
2565,2
2571,1
2572,1
2573,1
2575,1
2576,2
2580,1
2583,2
2585,2
2586,1
2589,1
2590,1
2592,1
2593,1
2594,2
2595,1
2596,2
2598,2
2599,1
2601,1
2602,2
2603,2
2604,1
2607,2
2609,1
2610,1
2612,2
2613,1
2615,1
2617,2
2619,2
2621,1
2622,1
2624,1
2626,2
2627,2
2631,1
2633,2
2639,1
2641,1
2643,1
2646,1
2648,1
2651,2
2652,1
2653,1
2654,2
2659,1
2661,2
2662,2
2667,1
2670,1
2673,2
2675,1
2676,1
2677,2
2678,1
2679,1
2680,1
2681,1
2685,1
2689,2
2690,2
2693,2
2694,1
2697,1
2699,2
2700,1
2704,2
2705,2
2706,1
2709,2
2710,2
2711,2
2713,2
2714,2
2718,1
2719,1
2723,1
2726,1
2727,2
2728,1
2729,1
2731,1
2733,1
2734,2
2737,1
2738,1
2741,1
2742,1
2743,2
2744,1
2747,2
2748,1
2749,1
2752,1
2754,1
2755,2
2757,1
2764,1
2769,2
2770,1
2771,1
2772,2
2775,1
2776,2
2778,1
2779,1
2783,1
2784,1
2786,1
2788,2
2790,2
2791,2
2798,2
2799,1
2803,1
2809,1
2810,1
2811,2
2813,1
2814,2
2817,2
2819,2
2820,1
2824,1
2825,1
2826,1
2827,2
2828,1
2829,2
2830,1
2835,1
2838,1
2839,1
2843,1
2844,2
2845,1
2846,1
2848,2
2850,2
2854,2
2856,1
2858,2
2861,1
2863,1
2864,1
2865,2
2866,2
2869,2
2875,2
2879,1
2881,2
2883,1
2884,1
2887,1
2890,1
2891,2
2892,2
2893,2
2895,1
2896,2
2899,2
2900,1
2902,2
2904,2
2906,1
2907,1
2911,2
2913,1
2914,2
2915,2
2917,2
2921,1
2922,2
2923,1
2924,2
2927,2
2928,1
2929,1
2930,1
2931,2
2934,1
2935,2
2939,2
2942,2
2943,1
2945,1
2946,1
2947,1
2949,1
2953,1
2954,2
2955,2
2959,1
2961,2
2964,2
2967,1
2968,1
2969,1
2970,2
2971,2
2974,1
2977,1
2979,1
2980,2
2983,1
2984,1
2986,1
2987,1
2990,2
2991,1
2993,2
2997,1
2998,1
2999,2
3000,2
3001,1
3002,2
3005,2
3006,2
3009,1
3012,2
3013,1
3014,1
3017,1
3019,1
3020,1
3021,1
3026,2
3027,1
3028,1
3030,2
3031,2
3034,1
3039,1
3040,2
3043,1
3044,1
3045,2
3046,2
3048,2
3049,1
3054,1
3060,2
3061,1
3064,1
3065,1
3067,1
3070,2
3071,1
3072,1
3073,2
3076,2
3079,1
3083,2
3085,2
3088,2
3090,2
3091,1
3093,2
3094,2
3095,2
3096,1
3098,2
3099,2
3102,2
3105,2
3106,2
3110,2
3112,2
3113,1
3115,2
3117,1
3118,2
3120,1
3121,2
3122,1
3123,1
3126,2
3128,2
3135,2
3137,1
3139,2
3142,1
3145,1
3148,1
3149,1
3151,2
3153,1
3155,2
3157,1
3160,2
3162,2
3163,1
3166,2
3168,1
3173,1
3175,1
3178,2
3179,1
3186,2
3194,1
3197,1
3199,1
3203,1
3205,2
3207,1
3208,2
3211,2
3215,2
3216,2
3217,1
3218,2
3224,2
3225,2
3227,1
3228,1
3230,1
3232,1
3238,1
3240,1
3243,2
3246,2
3247,2
3248,1
3250,1
3252,1
3253,2
3254,1
3257,2
3259,1
3260,1
3261,2
3262,1
3265,2
3266,1
3267,1
3269,1
3270,2
3273,2
3277,1
3278,1
3281,1
3283,1
3284,1
3285,2
3286,1
3293,2
3294,2
3295,1
3296,2
3297,1
3301,2
3304,1
3305,2
3306,1
3311,1
3314,1
3316,1
3318,1
3320,2
3323,2
3324,2
3325,2
3327,1
3331,1
3332,1
3334,1
3336,2
3337,2
3341,1
3342,2
3345,2
3346,2
3348,1
3354,1
3355,2
3356,2
3358,1
3364,2
3366,1
3372,1
3373,1
3374,2
3375,2
3378,1
3380,1
3381,1
3382,1
3383,1
3384,2
3389,1
3392,1
3393,2
3395,2
3397,1
3398,1
3399,1
3401,2
3402,2
3404,2
3410,2
3411,1
3414,2
3418,2
3419,2
3420,1
3421,2
3422,1
3423,1
3424,2
3425,1
3427,1
3428,2
3429,1
3430,2
3433,1
3435,1
3436,2
3438,2
3439,1
3440,1
3441,1
3443,1
3444,2
3445,1
3447,1
3448,2
3449,1
3450,2
3452,1
3453,1
3456,1
3457,2
3458,1
3461,2
3463,2
3466,2
3467,2
3468,1
3470,1
3474,2
3477,1
3479,2
3484,1
3485,2
3490,1
3491,1
3494,1
3497,2
3498,1
3499,1
3500,1
3503,2
3504,2
3505,1
3508,2
3509,2
3512,2
3513,1
3514,2
3519,1
3520,2
3521,1
3526,2
3530,2
3539,1
3541,1
3542,1
3544,1
3545,1
3546,1
3547,1
3548,1
3552,1
3553,2
3556,1
3558,1
3562,2
3563,1
3565,1
3568,1
3570,2
3573,1
3574,2
3576,2
3579,2
3581,2
3583,2
3586,1
3590,2
3591,2
3592,2
3594,2
3598,1
3600,1
3606,2
3610,2
3612,1
3614,1
3615,2
3616,2
3618,2
3626,1
3627,2
3628,1
3630,2
3633,1
3634,1
3635,2
3639,1
3640,1
3642,1
3643,1
3645,2
3649,2
3650,2
3651,1
3653,1
3654,2
3656,1
3657,1
3661,2
3662,1
3663,2
3664,2
3668,1
3669,1
3673,1
3674,1
3675,2
3676,1
3677,1
3679,2
3682,2
3683,1
3684,1
3685,2
3686,1
3687,1
3688,1
3689,2
3690,2
3696,1
3702,1
3705,2
3706,2
3708,2
3709,1
3710,2
3715,1
3716,2
3717,2
3721,2
3723,2
3724,2
3725,1
3729,1
3730,2
3733,2
3738,2
3741,2
3744,1
3748,2
3749,2
3751,2
3752,2
3756,1
3758,2
3759,2
3762,1
3767,2
3770,2
3772,2
3773,1
3776,2
3782,1
3783,1
3784,2
3785,2
3788,1
3790,1
3792,2
3794,2
3797,2
3798,2
3799,2
3801,2
3803,2
3804,2
3805,2
3806,1
3809,2
3811,2
3813,1
3819,1
3821,2
3822,1
3823,2
3824,2
3826,2
3827,2
3829,1
3831,2
3832,1
3834,2
3837,2
3838,2
3839,2
3843,2
3844,1
3848,1
3849,1
3854,2
3855,1
3857,2
3858,1
3859,1
3862,2
3865,1
3866,2
3867,2
3869,1
3870,1
3874,2
3876,2
3877,1
3879,1
3881,1
3886,2
3887,2
3888,1
3889,1
3890,2
3892,2
3893,2
3894,1
3895,2
3897,1
3901,1
3902,2
3906,1
3910,2
3911,2
3913,1
3915,2
3916,2
3920,2
3921,1
3922,2
3923,1
3924,2
3925,2
3926,2
3927,2
3929,2
3930,2
3932,2
3933,1
3938,1
3939,2
3943,2
3945,2
3946,1
3949,2
3951,2
3952,1
3953,2
3955,2
3959,2
3960,1
3964,2
3967,1
3972,2
3974,2
3975,1
3976,2
3978,2
3979,1
3982,1
3985,1
3987,1
3988,2
3990,2
3992,1
3994,2
3996,1
3997,1
3998,2
3999,2
